incident_year,season_dir,incident,incident_base,ir_folder,file_name,file_url,local_path,event_timestamp_local
2015,2015_Incidents,2015_Cougar,Cougar,20150817,20150817_Cougar_IR_shapefiles.zip,https://ftp.wildfire.gov/public/incident_specific_data/great_basin/2015_Incidents/2015_Cougar/IR/20150817/20150817_Cougar_IR_shapefiles.zip,2015_Incidents\2015_Cougar\IR\20150817\20150816_1942_Cougar_HeatPerimeter.shp,
2015,2015_Incidents,2015_Cougar,Cougar,20150819,20150819_Cougar_IR.zip,https://ftp.wildfire.gov/public/incident_specific_data/great_basin/2015_Incidents/2015_Cougar/IR/20150819/20150819_Cougar_IR.zip,2015_Incidents\2015_Cougar\IR\20150819\20150819_0119_Cougar_HeatPerimeter.shp,
2015,2015_Incidents,2015_Cougar,Cougar,20150820,20150820_Cougar_IR_shps.zip,https://ftp.wildfire.gov/public/incident_specific_data/great_basin/2015_Incidents/2015_Cougar/IR/20150820/20150820_Cougar_IR_shps.zip,2015_Incidents\2015_Cougar\IR\20150820\20150819_1959_Cougar_HeatPerimeter.shp,
2015,2015_Incidents,2015_Cougar,Cougar,20150821,20150821_Cougar_IR_log.zip,https://ftp.wildfire.gov/public/incident_specific_data/great_basin/2015_Incidents/2015_Cougar/IR/20150821/20150821_Cougar_IR_log.zip,2015_Incidents\2015_Cougar\IR\20150821\20150821_0159_Cougar_HeatPerimeter.shp,
2015,2015_Incidents,2015_Cougar,Cougar,20150822,20151822_Cougar_IR_shps.zip,https://ftp.wildfire.gov/public/incident_specific_data/great_basin/2015_Incidents/2015_Cougar/IR/20150822/20151822_Cougar_IR_shps.zip,2015_Incidents\2015_Cougar\IR\20150822\20150821_1942_Cougar_HeatPerimeter.shp,
2015,2015_Incidents,2015_Cougar,Cougar,20150825,20150825_Cougar_IR.zip,https://ftp.wildfire.gov/public/incident_specific_data/great_basin/2015_Incidents/2015_Cougar/IR/20150825/20150825_Cougar_IR.zip,2015_Incidents\2015_Cougar\IR\20150825\20150824_2034_Cougar_HeatPerimeter.shp,
2015,2015_Incidents,2015_Cougar,Cougar,20150826,20150826_Cougar_IR.zip,https://ftp.wildfire.gov/public/incident_specific_data/great_basin/2015_Incidents/2015_Cougar/IR/20150826/20150826_Cougar_IR.zip,2015_Incidents\2015_Cougar\IR\20150826\20150825_2109_Cougar_HeatPerimeter.shp,
2015,2015_Incidents,2015_Cougar,Cougar,20150828,20151827_Cougar_IR_shps.zip,https://ftp.wildfire.gov/public/incident_specific_data/great_basin/2015_Incidents/2015_Cougar/IR/20150828/20151827_Cougar_IR_shps.zip,2015_Incidents\2015_Cougar\IR\20150828\20150827_2120_Cougar_HeatPerimeter.shp,
2015,2015_Incidents,2015_Cougar,Cougar,20150831,20150831_Cougar_IR_shps.zip,https://ftp.wildfire.gov/public/incident_specific_data/great_basin/2015_Incidents/2015_Cougar/IR/20150831/20150831_Cougar_IR_shps.zip,2015_Incidents\2015_Cougar\IR\20150831\20150831_0105_Cougar_HeatPerimeter.shp,
2015,2015_Incidents,2015_Cougar,Cougar,20150902,20150902_Cougar_Shapefiles.zip,https://ftp.wildfire.gov/public/incident_specific_data/great_basin/2015_Incidents/2015_Cougar/IR/20150902/20150902_Cougar_Shapefiles.zip,2015_Incidents\2015_Cougar\IR\20150902\20150902_0247_Cougar_HeatPerimeter.shp,
2015,2015_Incidents,2015_Cougar,Cougar,20150903,20150903_Cougar_Shapefiles.zip,https://ftp.wildfire.gov/public/incident_specific_data/great_basin/2015_Incidents/2015_Cougar/IR/20150903/20150903_Cougar_Shapefiles.zip,2015_Incidents\2015_Cougar\IR\20150903\20150902_1946_Cougar_HeatPerimeter.shp,
2015,2015_Incidents,2015_Cougar,Cougar,20150929,20150929_CougarIR.zip,https://ftp.wildfire.gov/public/incident_specific_data/great_basin/2015_Incidents/2015_Cougar/IR/20150929/20150929_CougarIR.zip,2015_Incidents\2015_Cougar\IR\20150929\20150928_2056_Cougar_HeatPerimeter.shp,
